SECTOR|CIE10|NUMERODECASOS
NOT_FOUND|S636 | 1
NOT_FOUND|S637 | 1
URDANETA|T784 | 2
FEBRES CORDERO|I159 | 1
FEBRES CORDERO|I158 | 1
GARCIA MORENO|R51 | 2
DAULE|K922 | 1
AYACUCHO|K297 | 1
DURAN|E86 | 10
NOT_FOUND|A062 | 2
PASCUALES|R500 | 1
ALBORADA|L50 | 2
NOT_FOUND|L038 | 1
XIMENA|A90 | 7
XIMENA|A92 | 1
GARCIA MORENO|W540 | 1
LETAMENDI|K12 | 2
XIMENA|E835 | 2
SALITRE|N390 | 1
GUAYACANES|K12 | 1
NAVAL NORTE|E86 | 1
PUERTO SANTA ANA|R51 | 2
BOLIVAR SAGRARIO|J202 | 1
TARQUI|S434 | 1
NOT_FOUND|H922 | 1
NOT_FOUND|H920 | 15
BOLIVAR SAGRARIO|J209 | 1
NOT_FOUND|L032 | 1
ORQUIDEAS|S424 | 1
MUCHO LOTE I|A90 | 2
PASCUALES|B082 | 1
INMACONSA|J20 | 1
INMACONSA|J21 | 1
GARCIA MORENO|J05 | 1
TARQUI|K802 | 1
GARZOTA|L080 | 1
PROSPERINA|M624 | 1
CHONGON|E86 | 9
NAVAL NORTE|A09 | 1
PROSPERINA|K30 | 1
URDANETA|A09 | 49
NOT_FOUND|S202 | 1
NOT_FOUND|S200 | 1
NOT_FOUND|S207 | 1
XIMENA|T780 | 1
JUAN MONTALVO|S924 | 1
XIMENA|L089 | 2
PROSPERINA|J05 | 2
NOT_FOUND|T784 | 3
NOT_FOUND|T783 | 1
PROSPERINA|J00 | 2
PROSPERINA|J03 | 9
PROSPERINA|J02 | 1
LETAMENDI|T242 | 1
MUCHO LOTE I|K52 | 1
BOLIVAR SAGRARIO|T07 | 1
VERGELES|R10 | 2
XIMENA|M939 | 1
AYACUCHO|S90 | 2
SAN EDUARDO|J042 | 1
MUCHO LOTE II|T242 | 1
VOLUNTAD DE DIOS|H10 | 2
POSORJA|J01 | 1
POSORJA|J00 | 1
LETAMENDI|M255 | 2
BOLIVARIANA|A09 | 2
OTROS|J180 | 4
FEBRES CORDERO|S808 | 1
FEBRES CORDERO|S801 | 1
FEBRES CORDERO|S800 | 2
URDANETA|R51 | 2
FEBRES CORDERO|R42 | 3
FEBRES CORDERO|Q37 | 1
FEBRES CORDERO|Q36 | 1
MONTE SINAI|A09 | 4
ATARAZANA|R509 | 1
CHONGON|S902 | 2
CHONGON|S900 | 1
XIMENA|W540 | 2
ROCAFUERTE|J45 | 1
MIRAFLORES|G430 | 1
NOT_FOUND|S80 | 5
NOT_FOUND|S81 | 3
NOT_FOUND|S82 | 1
XIMENA|J03| | 1
NOT_FOUND|S89 | 1
FEBRES CORDERO|H920 | 15
NOT_FOUND|T13 | 1
DAULE|K590 | 1
DAULE|J96 | 1
DAULE|J98 | 1
GUAYACANES|S00 | 1
NOT_FOUND|S62 | 1
NOT_FOUND|S60 | 3
NOT_FOUND|S61 | 4
SAMBORONDON|J18 | 1
